"","peaknum_a","mz","rt","rtmin","rtmax","match_mz","n_carbons","adduct","iso","charge","maxo"
"peaknum",11632,693.472016399703,3319.87,3299.91,3342.82,729.593341228355,36,0,0,1,3209.34350585938
"peaknum",6339,697.214985000999,1497.74,1482.77,1508.71,723.30283268792,26,0,0,1,1768.64013671875
"peaknum",8697,700.079300106642,1956.76,1949.78,1965.75,720.145506815427,20,NA,NA,1,1047.67102050781
"peaknum",7249,702.194816628762,1641.43,1633.44,1657.39,726.275796804585,24,0,0,1,2688.36645507812
"peaknum",695,702.510610488397,141.612,124.648,154.584,740.6374569652,38,0,NA,1,47348.6171875
"peaknum",4741,702.510554200649,879.047,834.143,922.953,740.638078275118,38,0,0,1,91923.0859375
"peaknum",7177,703.198965591671,1640.43,1634.44,1647.42,726.275796804585,23,NA,NA,1,743.988952636719
"peaknum",2917,705.47362221763,827.157,819.174,842.126,742.597866798041,37,0,0,1,39607.25390625
"peaknum",6492,706.220209332742,1497.74,1484.76,1512.7,732.307578773723,26,0,0,1,22531.921875
"peaknum",6458,706.722201047932,1497.74,1484.76,1511.7,732.808612586568,26,NA,NA,1,13379.3486328125
"peaknum",2370,707.482809640045,828.155,821.17,844.121,740.59220911357,33,NA,NA,1,4601.103515625
"peaknum",6361,707.724567739904,1498.35069972879,1488.75,1510.71,732.808612586568,25,NA,NA,1,2650.10668945312
"peaknum",2180,708.487701332635,829.153,820.172,839.132,743.604171632223,35,NA,NA,1,1466.88391113281
"peaknum",7026,710.427349868331,1548.63,1544.64,1565.59,744.54149846863,34,0,NA,1,22316.388671875
"peaknum",7013,712.433363660233,1548.63,1535.65,1565.59,746.545001316661,34,NA,NA,1,2963.06127929688
"peaknum",3510,714.442736216409,932.932,926.944,941.913,746.549964470875,32,0,0,1,4229.44482421875
"peaknum",1671,716.490313307341,806.720136592177,792.232,821.17,753.614526118331,37,0,NA,1,17819.03515625
"peaknum",1470,716.525288726643,142.61,124.648,154.584,755.656366348091,39,NA,NA,1,29624.794921875
"peaknum",13226,717.528656402429,3549.38,3491.51,3599.28,753.648817848375,36,NA,NA,1,32472.0078125
"peaknum",609,717.529509163672,141.612,127.642,154.584,755.656366348091,38,NA,NA,1,14445.1005859375
"peaknum",1967,718.48231994293,823.166,819.174,830.151,752.599947423388,34,NA,NA,1,6786.0732421875
"peaknum",12486,719.488482606146,3332.85,3315.88,3350.81,757.61608375448,38,0,0,1,169738.640625
"peaknum",5991,719.490025795521,828.155,818.177,843.123,757.617584652987,38,0,0,1,2226988.75
"peaknum",1656,720.51849457221,807.2,798.219,819.174,758.648692366586,38,0,0,1,2634.19775390625
"peaknum",12391,721.503511508837,3374.76,3359.79,3391.72,759.631260974828,38,NA,NA,1,4522.4912109375
"peaknum",9145,721.636338609143,2105.45,2097.46,2110.44,741.703250960717,20,0,NA,1,871.25390625
"peaknum",11749,722.497948246921,3331.85,3293.93,3362.78,754.6055528936,32,NA,NA,1,3767.41162109375
"peaknum",2061,724.502838619515,829.153,826.16,833.145,760.6266350905,36,NA,NA,1,1136.35144042969
"peaknum",5495,725.240364834983,1182.41,1166.44,1192.39,749.320393242629,24,NA,NA,1,1131.08166503906
"peaknum",9517,726.215127659571,2388.85,2380.86,2404.81,756.314862315826,30,0,0,1,1580.02709960938
"peaknum",6118,727.224846000679,1468.8,1453.83,1479.77,754.316289452577,27,0,NA,1,2305.97265625
"peaknum",7078,728.153814496158,1609.5,1602.51,1620.47,751.231109012217,23,0,0,1,3556.16772460938
"peaknum",1857,730.507477552459,816.181,809.196,828.155,768.633555695856,38,0,0,1,41665.1171875
"peaknum",6377,733.21356106142,1500.73,1492.75,1511.7,758.297783630043,25,0,NA,1,1811.86730957031
"peaknum",5979,733.505911011279,837.136,822.168,854.1,772.636832823579,39,0,0,1,1805226.5
"peaknum",12863,733.504806632781,3361.78,3297.92,3425.65,770.628603341351,37,0,0,1,608091
"peaknum",5799,735.211438753923,1296.17,1282.2,1313.13,759.292276133186,24,0,0,1,1250.65380859375
"peaknum",6363,736.230826602888,1497.40666666667,1486.76,1509.71,763.321672073535,27,0,NA,1,5851.6943359375
"peaknum",5904,737.238790668596,1313.13,1298.16,1328.1,764.32923970156,27,0,0,1,8959.0341796875
"peaknum",6341,737.233699299195,1497.74,1482.77,1509.71,763.321672073535,26,NA,NA,1,2367.80908203125
"peaknum",2319,739.523144275086,837.136,830.151,851.106,762.601867816327,23,NA,NA,1,1015.23272705078
"peaknum",1590,741.521381018411,794.228,784.249,811.192,779.648823370483,38,NA,NA,1,5067.6220703125
"peaknum",9009,742.070608655102,2006.66,1994.68,2022.62,763.140873773881,21,0,0,1,56683.99609375
"peaknum",13256,742.540986185954,3550.38,3483.52,3599.28,783.678200000577,41,0,0,1,10855.7890625
"peaknum",6109,744.107550311307,1469.13,1460.81,1478.78,765.177313549264,21,0,0,1,2863.5556640625
"peaknum",2114,744.521113126153,817.179,802.211,834.143,784.654611608814,40,NA,NA,1,8574.7236328125
"peaknum",1718,745.523827778532,816.181,797.221,821.17,784.654611608814,39,0,0,1,5011.88232421875
"peaknum",6342,747.222901171949,1498.12848069462,1489.75,1505.72,773.309225778501,26,0,0,1,1690.0087890625
"peaknum",13261,747.519904878322,3381.74,3363.78,3400.7,786.650546040178,39,0,0,1,336696.09375
"peaknum",3427,747.521503934939,843.123,826.16,861.085,787.656020170616,40,0,0,1,538574.6875
"peaknum",1968,751.480196843422,826.16,821.17,830.151,802.647749054414,51,NA,NA,1,1909.05847167969
"peaknum",6318,755.207806934706,1500.73,1487.76,1504.72,781.296036106806,26,0,NA,1,747.102661132812
"peaknum",5747,758.24421958977,1276.21,1260.24,1288.18,786.341529456634,28,0,0,1,1290.54736328125
"peaknum",6093,760.080180352876,1469.6837689338,1461.81,1475.78,781.151243647643,21,0,NA,1,1050.21215820312
"peaknum",13272,761.535502141025,3521.44,3495.5,3542.4,802.673195190085,41,0,0,1,54244.08984375
"peaknum",13271,761.535643156366,3417.66,3392.72,3438.62,802.673522604087,41,0,0,1,229014.484375
"peaknum",3939,761.536976497149,865.077,845.119,885.034,802.675187227442,41,0,0,1,282285
"peaknum",2301,763.516451435561,827.157,819.174,844.121,803.649754918518,40,0,NA,1,10831.005859375
"peaknum",7641,763.699555201552,1704.3,1674.36,1724.26,788.781821602063,25,0,0,1,1303.11694335938
"peaknum",8866,764.052792026364,2006.66,1998.68,2024.62,785.122780540839,21,NA,NA,1,2982.4052734375
"peaknum",8758,765.056795503939,2005.66,2000.67,2012.64,784.119822090729,19,NA,NA,1,1083.51196289062
"peaknum",9608,765.10208247363,2776.02,2757.06,2794.98,786.172487545186,21,NA,NA,1,743.341979980469
"peaknum",5855,767.247819551284,1313.13,1296.17,1329.09,794.340114972213,27,0,NA,1,4703.74267578125
"peaknum",1702,767.475069187789,814.185,809.196,824.164,805.601129397694,38,0,0,1,2189.33251953125
"peaknum",6871,767.725010308018,1541.09519520814,1519.69,1541.64,794.814565333845,27,0,0,1,2405.69189453125
"peaknum",5852,768.753264776204,1313.13,1307.14,1323.11,794.840861912411,26,NA,NA,1,1164.4990234375
"peaknum",12600,773.534983804211,3389.72,3368.77,3410.68,815.675986188106,42,0,0,1,31985.216796875
"peaknum",3716,773.536783935363,841.128,823.166,864.079,815.677483772585,42,0,0,1,49217.7265625
"peaknum",13290,775.55042485842,3456.58,3417.66,3489.51,817.69143355667,42,NA,NA,1,8920.2578125
"peaknum",13289,775.551242144007,3522.44,3496.5,3540.4,817.691759552656,42,0,0,1,12319.451171875
"peaknum",3562,775.551861680536,887.03,864.079,913.972,817.692796242064,42,0,0,1,9758.3857421875
"peaknum",8102,777.343209029505,1883.92,1870.95,1890.9,811.457065943072,34,NA,NA,1,740.747802734375
"peaknum",6426,778.742535966887,1503.72,1496.74,1509.71,806.83710838735,28,NA,NA,1,1292.23388671875
"peaknum",1940,779.510609367153,824.164,820.172,831.149,819.644121799646,40,0,0,1,1480.68432617188
"peaknum",7338,783.221711823611,1645.42,1631.45,1660.39,810.312120608014,27,0,0,1,10603.3310546875
"peaknum",7298,784.224801380484,1646.88781416971,1633.44,1658.39,811.314615996161,27,NA,NA,1,3457.375
"peaknum",7642,784.152077264039,1690.33,1681.35,1706.29,811.242769907995,27,0,0,1,19467.1171875
"peaknum",7322,784.724244559136,1647.42,1638.43,1663.39,811.815929484094,27,NA,NA,1,1346.00793457031
"peaknum",6643,787.246375055229,1504.72,1491.75,1519.69,817.345942346457,30,0,NA,1,47835.8515625
"peaknum",13299,787.550788302613,3425.65,3396.71,3451.59,830.69496040779,43,0,0,1,14871.0498046875
