"","peaknum_b","peaknum_a","rt_diff","c_diff"
"63",7602,6585,5.11501242750091,0
"64",3652,3764,6.63592875073812,0
"65",3773,4364,-4.13039086674121,0
"66",5773,5031,-0.215784805734984,0
"67",4248,7730,5.79145913960838,0
"68",5988,5232,0.407391636660122,0
"69",3456,3443,2.74165576608743,0
"70",1399,1341,-39.011916151018,0
"71",3519,3846,-14.9000830692847,0
"72",2311,2138,-13.9020830692847,0
"73",2345,2092,-13.8753616403154,0
"74",1221,1225,-75.0067795710344,0
"75",3214,3338,2.56173667292398,0
"76",7461,6468,6.46156502824988,0
"77",9559,8213,-0.0866076614915983,0
"78",5257,4525,-26.0118818298117,0
"79",7535,6568,8.1326643792047,0
"80",12994,11335,4.91825420405621,0
"81",1502,1549,-25.0451345002369,0
"82",2948,3098,2.64492875073813,0
"83",1457,1543,-22.0372668380256,0
"84",7809,6783,2.54641048593476,0
"85",2362,2518,3.92025420405616,0
"86",3241,3156,2.28255348377957,0
"87",7258,6314,6.76670917870911,0
"88",10854,9015,-14.8627309957114,0
"89",1473,1545,-24.0332668380256,0
"90",7612,6614,5.47341722188298,0
"91",2733,2908,2.79745913960835,0
"92",7544,6529,5.21200269026076,0
"93",3074,3221,4.01731394408148,0
"94",5212,3527,3.82319446403073,0
"95",3242,3305,2.85392978845334,0
"96",3386,3360,-13.0718277404955,0
"97",7511,6515,6.68536395393949,0
"98",7478,6487,6.28134100131683,0
"99",8754,7635,5.73711569456214,0
"100",662,672,-12.0415567375143,0
"101",2735,2779,1.84206212624213,0
"102",3272,3258,-1.51245540489026,0
"103",3638,3566,-10.6365064380378,0
"104",6044,5250,1.26871501454798,0
"105",7730,6681,3.75442541910297,0
"106",7828,6793,5.65670499853309,0
"107",741,778,-34.137607770662,0
"108",531,495,22.7184057269867,0
"109",7777,6750,2.54641048593476,0
"110",8714,7587,8.10253365408698,0
"111",9307,8016,2.95010466279564,0
"112",7846,6811,4.07118126307341,0
"113",8710,7579,8.44049880512284,0
"114",2911,3134,4.86278355521131,0
"115",4045,3924,3.89251887963383,0
"116",3475,3478,3.1034027598206,1
"117",7762,6761,4.5742013921697,0
"118",3244,3345,-14.9000830692847,0
"119",9299,8006,3.96400011591277,0
"120",8194,7155,6.81263935596303,0
"121",2524,2245,-15.8980830692847,0
"122",2290,2174,-13.8892293025267,0
"123",2894,3055,2.72913472400546,0
"124",3118,3274,4.64092875073811,0
"125",7606,6586,7.1326643792047,0
"126",7578,6569,10.1225677096422,0
"127",9179,7916,8.39217478732462,0
"128",9493,8159,2.73213813076154,0
"129",9488,8153,1.66702249564742,0
"130",9540,7963,-283.084473248272,0
"131",9253,7963,7.28504557003362,0
"132",9473,8138,6.93045100314521,0
"133",9358,8046,8.81712156209915,0
"134",9494,8164,5.97765170718276,0
"135",9519,8183,3.36096960966552,-1
"136",3027,2967,5.79145913960838,-13
"137",9259,7948,4.13871699621768,0
"138",9460,8135,8.27275850736578,12
"139",2913,3080,5.79145913960838,0
"140",9447,8093,8.14768125416913,0
"141",6936,6013,-2.39964878649562,0
"142",643,595,-9.83756959525235,0
"143",2842,3059,6.85778355521131,0
"144",7837,6804,4.07118126307341,0
"145",2843,3081,4.76572381518599,0
"146",9292,7998,5.09716959139587,0
"147",9572,7998,-299.446607661492,0
"148",9556,8215,-1.09036416007848,1
"149",9580,8233,6.4197748091583,0
"150",7841,6805,3.05728580995606,0
"151",3055,3194,2.56173667292398,0
"152",3090,2969,5.93012186626743,0
"153",9450,8095,7.12481527581258,0
"154",3280,3325,5.93012186626743,0
"155",9467,8139,3.95824599764182,0
"156",9046,7834,6.79430920054301,0
"157",2333,2390,4.00344628187042,0
"158",2463,2632,4.93212186626738,0
"159",2896,3038,2.72913472400546,0
"160",2672,2864,4.86278355521131,0
"161",2175,2700,-0.584447095816813,0
"162",7732,6709,5.75442541910297,0
"163",655,673,-10.0039537508807,0
"164",3144,3162,4.86278355521131,0
"165",2254,2391,5.02918160629281,0
